940826: Write one thing that is not clear or confusing about this topic.,940827: Write one important thing from this topic.,940828: Write one thing you would like to know more about.
"When square roots get involved, i get very confused",I find that making the distinction between g and f are the most important,I would like to know more about dealing with square roots
Nothing ,the order in which you operate on parentheses ,real-life applications 
i had confused  fog g goes into f,the order of like aoboc whatever they go backwards not forwards,nothing reallly
Remembering the asymptotes. And remembering how to spell asymptote.,,
one thing that is now clear is how to factor when combining two equations. ,One important thing from the topic is combining two equations. ,One thing I would like to learn more is if combining two notation is possible then could we combine at least 4? 
"one thing that was confusing about this topic was function composition, and I would like to see more examples of it done in class.",One important thing from this topic is to understand the order of operations when evaluating a function.,One thing I would like to know more about is the way in which we perform composite operations.
I don't understand how to derive an output from a composite equation by only using a table.,Composite equations are made of two equations joined together.,How are composite equations relevant in real life.
Interval Notation is confusing,The brackets when doing interval notation,nothing
working with more than 2 composite functions got a bit difficult,understanding that whatever y is for one equation will be the x value for the other,"nothing much, I just need more practice"
when to do what ,understanding fog,fog
How to fond composition of two functions from a graph. ,Finding the composition of two equations.,How to find composition via graph.
I am still confused about the f(g(x)) concepts. I feel like I need more practice with these problems. ,One important thing from this topic is I began to learn how to compose functions together to create composite functions. ,I would like to know more about how to solve more complicated functions such as f(g(h(r(x)))). 
One thing that was not clear was being able to tell a certain point of f(g) by only using the graphs.,One important thing to understand is how to use a function within a function.,I would like to understand how to find certain points of a common graph while using two graphs.
"one thing that is confusing to me if combining all the compositions. It seems self explanatory but when I try to do it, I get confused. ",One important thing from this topic is that fog is the function of f replacing x in the function of g.,One thing i would like to know more about is if there is somewhere I can access practice problems.
"I am still unclear on the 10.1 questions, as I missed class due to covid and I'm still needing to catch up on some of the topics we talked about in class.",Knowing how to combine like terms is important especially in this topic.,I'd like to know more about the f of g terms.
seeing the graphs of an inequality.,seeing the vertical and horizontal assymptotes.,find the equations to the inequalities
Something that is not clear about this topic is how to compute compositions,"One important thing from this topic is being able to find compositions numerically, graphically, and algebraically. ",One thing I would like to know more about is how to determine the domain of a composition.
One thing that is not clear about this topic was determining the domain of compositions. ,One important thing from this topic is computing compositions in general. ,I want to know more about determining the domain of compositions. 
